NAME,DESIGNATION,RA,DEC,SOURCE_KEY,OPT_TYPE,OPT_TYPE_REF,NIR_TYPE,NIR_TYPE_REF,LIT_TYPE,LIT_TYPE_REF,OBJECT_TYPE,J_2MASS,J_2MASS_E,H_2MASS,H_2MASS_E,KS_2MASS,KS_2MASS_E,JK_EXCESS,COLOR_EXTREMITY,LUMINOSITY_CLASS,METALLICITY_CLASS,GRAVITY_CLASS_OPTICAL,GRAVITY_CLASS_OPTICAL_REF,GRAVITY_CLASS_NIR,GRAVITY_CLASS_NIR_REF,CLUSTER,CLUSTER_REF,LIBRARY,BINARY,BINARY_REF,SBINARY,SBINARY_REF,COMPANION_NAME,COMPANION_REF,SIMBAD_OTYPE,SIMBAD_NAME,SIMBAD_SPT,SIMBAD_SPT_REF,SIMBAD_SEP,PARALLAX,PARALLAX_E,PARALLEX_REF,DISTANCE_PHOT,DISTANCE_PHOT_E,DISTANCE,DISTANCE_E,MU,MU_E,MU_RA,MU_DEC,MU_REF,VTAN,VTAN_E,RV,RV_E,RV_REF,VSINI,VSINI_E,VSINI_REF,NOTE
SDSS J074149.15+235127.5,J07414920+2351275,115.455,23.857639,10524,,,T5,2006ApJ...637.1067B,T5,2006ApJ...637.1067B,VLM,17.13,0.01,15.88,0.01,16.1,0.02,0.22,,,,,,,,,,,,,,,,,brownD*,2MASS J07414920+2351275,T5,2006ApJ...637.1067B,,,,,,,,,337.03,14.21,-262,-212,2014MNRAS.437.3603S,,,,,,,,,
2MASS J07415784+0531568,J07415784+0531568,115.491,5.532444,10525,,,L1.5,2010ApJS..190..100K,L1.5,2010ApJS..190..100K,VLM,14.379,0.035,13.563,0.023,13.062,0.033,0.03,,,,,,INT-G,SPL,,,,,,,,,,brownD*,2MASS J07415784+0531568,L1,2014AJ....147...34S,,,,,,,,,1350,870.4,-1078.16,-812.45,2010ApJS..190..100K,,,,,,,,,
SDSS J074201.41+205520.5,J07420130+2055198,115.50541,20.922167,10526,,,T5,2006ApJ...637.1067B,T5,2006ApJ...637.1067B,VLM,16.193,0.091,15.911,0.181,15.225,,-0.01,,,,,,,,,,,,,,,,,brownD*,2MASS J07420130+2055198,T5,2006ApJ...637.1067B,,66.5,8.6,2012ApJ...752...56F,,,15.038,1.945,393.27,17.69,-319,-230,2008MNRAS.390.1517C,28.0315494,3.838204031,,,,,,,
WISE J07421169-1211516,J07421169-1211516,115.54871,-12.197667,10527,,,WD?,2014ApJ...783..122K,WD?,2014ApJ...783..122K,WD,12.629,0.025,12.073,0.022,11.913,0.024,,,,,,,,,,,,,,,,,,PM*,WISE J074211.69-121151.6,,,,,,,,,,,338.33,14.14,337,-30,2014ApJ...781....4L,,,,,,,,,
2MASS J07463636+3645556,J07463636+3645556,116.6515,36.76529444,12636,,,M9.0,SPL,M9,2008AJ....135..785W,VLM,15.087,0.041,14.253,0.044,13.932,0.056,0.045,,,,,,FLD-G,SPL,,,,,,,,,,low-mass*,2MASS J07463636+3645556,M9,2008AJ....135..785W,9.299505448,,,,57.48790807,10.80984301,57.48790807,10.80984301,,,,,,,,30.2,,2008AJ....135..785W,,,,
2MASSI J0746425+200032,J07464256+2000321,116.67733,20.008917,10528,L0.5,2000AJ....120..447K,L1,2004AJ....127.3553K,L0.5,2000AJ....120..447K,VLM,11.759,0.02,11.007,0.022,10.468,0.022,-0.04,,,,,,FLD-G,SPL,,,binary,Y,,,,,,brownD*,LSPM J0746+2000,L0.5V,2000AJ....120..447K,,86.2,4.6,2012ApJ...752...56F,,,11.601,0.619,370.06,10.05,-368,-39,2007AJ....133.2258S,20.34905127,1.218442239,,,,32.72,0.56,2010ApJ...723..684B,binary: a=0.22 at 15 degrees (4/15/2000) (Reid et al. 2001)
SDSS J074653.21+394509.9,J074653235+39450985,116.7217917,39.75273611,12383,,,M7.0,SPL,M7,2014PASP..126..642S,VLM,12.572,0.022,11.951,0.016,11.617,0.02,-0.04,,,,,,,,,,,,,,,,,Star,SDSS J074653.21+394509.9,M7,2014PASP..126..642S,11.62429364,,,,24.99452258,4.455207657,24.99452258,4.455207657,,,,,,,,,,,,,,
SDSS J074756.31+394732.9,J07475631+3947329,116.98463,39.792473,10529,L0,2002AJ....123.3409H,,,L0,2002AJ....123.3409H,VLM,15.076,0.041,14.163,0.039,13.724,0.045,0.2,,,,,,FLD-G,SPL,,,young,,,,,,,brownD*,2MASS J07475631+3947329,M9,2008AJ....135..785W,,,,,,,,,69.2,19.1,55,-42,2008MNRAS.390.1517C,,,,,,,,,
SDSS J074838.61+174332.9,J07483861+1743329,117.16088,17.725805,10530,L7,2009A&A...497..619Z,,,L7,2009A&A...497..619Z,VLM,16.27,0.11,15.18,0.09,14.42,0.09,0.02,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J07483864+1743329,L5,2015AJ....150..182K,,,,,,,,,,,,,,,,,,,,,,
SDSS J07500493+3306179,J07500495+3306180,117.52063,33.105,10531,L0,2010AJ....139.1808S,,,L0,2010AJ....139.1808S,VLM,16.141,0.074,15.365,0.082,15.195,0.125,0.14,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J07500495+3306180,L0,2008AJ....135..785W,,,,,,,,,115.98,58.52,-106.6,-45.7,2010AJ....139.1808S,,,,,,,,,
SDSS J075054.74+445418.7,J07505465+4454162,117.72771,44.904503,10532,,,M8 pec,2013PASP..125..809T,M8 pec,2013PASP..125..809T,VLM,15.13,0.06,14.46,0.06,14.25,0.07,-0.18,,,,,,INT-G,SPL,,,,,,,,,,brownD*,2MASS J07505479+4454205,M9V,2011AJ....141...97W,,,,,,,,,379.47,14.14,-120,-360,2013PASP..125..809T,,,121,,2011AJ....141...97W,,,,
DENIS-P J0751164-253043,J07511645-2530432,117.81854,-25.511999,10533,L2.5,2008MNRAS.383..831P,,,L2.5,2008MNRAS.383..831P,VLM,13.161,0.024,12.495,0.023,11.991,0.024,-0.15,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J07511645-2530432,L1.5,2008MNRAS.383..831P,,59.15,0.84,2014AJ....147...94D,,,16.906,0.24,896.32,5.83,-885,142,2009AJ....137....1F,71.82680247,1.121957456,,,,,,,
LSPM J0752+1809,J07522108+1809283,118.08784,18.15786,10534,,,sdM7,BURGASSER-NP,sdM7,BURGASSER-NP,VLM,15.432,0.048,14.955,0.063,14.736,0.084,0,,,sd,,,,,,,subdwarf,,,,,,,PM*,2MASS J07522108+1809283,,,,,,,,,,,271.92,,46,-268,2005AJ....129.1483L,,,,,,,,,
NLTT 18549,J07522390+1612157,118.09959,16.204361,10535,M7,2009ApJ...699..649S,,,M7,2009ApJ...699..649S,VLM,10.879,0.022,10.197,0.022,9.846,0.019,-0.01,,,,,,,,,,young,,,,,,,brownD*,LP 423-31,M7.0V,2009ApJ...699..649S,,53.2,,2012ApJ...758...56S,,,18.797,,399.82,50.54,182,-356,2007AJ....133.2258S,35.62350223,4.50274296,-14.7,0.2,2012ApJ...758...56S,,,,
SDSS J075259.43+413634.6,J07525942+4136344,118.24759,41.609554,10536,L0,2002AJ....123.3409H,,,L0,2002AJ....123.3409H,VLM,16.356,0.131,15.601,0.16,15.191,,-0.06,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASSI J0753321+291711,J07533216+29171190,118.384,29.286638,10537,L2,2000AJ....120..447K,,,L2,2000AJ....120..447K,VLM,15.516,0.048,14.527,0.04,13.849,0.043,0.25,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSI J0753321+291711,L2V,2000AJ....120..447K,,,,,,,,,122.35,17.03,-88,-85,2008MNRAS.390.1517C,,,,,,,,,
2MASS J07552723+1138485,J07552723+1138485,118.8620417,11.64639444,12771,,,L2.0,SPL,L2,2017arXiv170803688K,VLM,17.261,0.212,16.364,0.231,15.474,0.154,0.427,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,98.95040072,16.56803362,98.95040072,16.56803362,,,,,,,,,,,,,,
2MASSI J0755480+221218,J07554795+2212169,118.94979,22.204695,10538,T6,2003ApJ...594..510B,T5,2006ApJ...637.1067B,T5,2006ApJ...637.1067B,VLM,15.728,0.064,15.669,0.145,15.753,0.207,0.04,,,,,,,,,,,,,,,,,brownD*,2MASSI J0755480+221218,T5.2,2002ApJ...564..421B,,,,,,,,,226.22,23.43,-10,-226,2008MNRAS.390.1517C,,,,,,,,,
2MASSI J0756252+124456,J07562528+12445600,119.10534,12.748889,10539,L6,2000AJ....120..447K,,,L6,2000AJ....120..447K,VLM,16.659,0.139,15.758,0.15,14.73,0.115,0.11,,,,,,FLD-G,SPL,,,sbinary,,,Y,,,,brownD*,2MASSI J0756252+124456,L6V,2000AJ....120..447K,,,,,,,,,104.82,26.09,-2,-104.8,2010AJ....139.1808S,,,,,,,,,
2MASS J07575274+0914103,J07575274+0914103,119.46974,9.2361946,10540,L4::,2009A&A...497..619Z,,,L4::,2009A&A...497..619Z,VLM,15.86,0.082,14.832,0.066,14.087,0.059,0.12,,,,,,FLD-G,SPL,,,,,,,,,,Candidate_brownD*,2MASS J07575274+0914103,,,,,,,,,,,,,,,,,,,,,,,,
HIP 38939B,J07580161-2539014,119.50671,-25.650389,10541,,,T4.5,2012ApJ...755...94D,T4.5,2012ApJ...755...94D,VLM,16.12,0.08,15.8,0.12,15.86,,0.07,,,,,,,,,,companion,,,,,HIP 38939A,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J075840.33+324723.4,J07584037+3247245,119.66821,32.790138,10542,,,T2,2006ApJ...637.1067B,T2,2006ApJ...637.1067B,VLM,14.947,0.044,14.111,0.042,13.879,0.057,0.17,,,,,,,,,,,,,,,,,brownD*,2MASS J07584037+3247245,T2,2006ApJ...637.1067B,,,,,,,,,376.13,21.63,-204,-316,2008MNRAS.390.1517C,,,,,,,,,
J0759+0319 Background Source,J0759+0319,119.75,3.3166666,10543,,,,,,,STAR,16.034,0.075,15.539,0.101,15.415,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrong target?
2MASS J08002758+5511346,J080027586+5511346,120.1149167,55.19296667,11902,,,L1.0,SPL,L1,2010AJ....139.1808S,VLM,14.623,0.029,13.819,0.024,13.36,0.033,0.013,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08002758+5511346,L1,2010AJ....139.1808S,8.629,,,,34.45,6.256,34.4551,6.2563,114.071,16.8,-11.4,-113.5,2010AJ....139.1808S,18.62978045,,-0.0002,0,2009yCat.2294....0A,,,,
SDSS J080048.13+465825.5,J08004815+46582560,120.20063,46.973778,10544,L2,2002AJ....123.3409H,,,L2,2002AJ....123.3409H,VLM,15.513,0.07,14.549,0.058,14.315,0.078,-0.03,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08004815+4658256,L2,2002AJ....123.3409H,,,,,,,,,104.57,75.38,-103.8,12.7,2010AJ....139.1808S,,,,,,,,,
2MASSW J0801405+462850,J08014056+4628498,120.419,46.480499,10545,L6.5,2000AJ....120..447K,,,L6.5,2000AJ....120..447K,VLM,16.275,0.134,15.452,0.142,14.536,0.1,-0.04,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSW J0801405+462850,L6.5V,2000AJ....120..447K,,,,,,,,,384.17,30.61,-195,-331,2008MNRAS.390.1517C,,,,,,,,,
2MASS J08040580+6153336,J080405800+6153336,121.0241667,61.89266944,11729,,,L0.0,SPL,M9,2007AJ....133.2258S,VLM,12.74,0.021,11.929,0.019,11.454,0.023,0.176,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08040580+6153336,M9,2007AJ....133.2258S,,,,,19.75,3.47,19.753,3.474,639.585,40,-45,-638,2007AJ....133.2258S,59.8837128,,,,,,,,
2MASS J08041429+0330474,J08041429+0330474,121.05954,3.5131667,10546,M8.5,2008AJ....136.1290R,,,M8.5,2008AJ....136.1290R,VLM,13.689,,12.968,,12.44,,-0.1,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08041429+0330474,M8.5,2008AJ....136.1290R,,,,,,,,,14.32,28.28,-6,-13,2009AJ....137....1F,,,,,,,,,
2MASS J08051104-3158115,J08051104-3158115,121.296,-31.96973611,12384,,,M8.0,SPL,M8,2008MNRAS.383..831P,VLM,13.113,0.022,12.566,0.021,12.113,0.023,-0.05,,,,,,INT-G,SPL,,,,,,,,,,brownD*,2MASS J08051104-3158115,M8,2008MNRAS.383..831P,0.45,,,,27.47416997,5.129072566,27.47416997,5.129072566,,,,,,,,,,,,,,
SDSS J080531.84+481233.0,J08053189+4812330,121.38287,48.209167,10547,L4,2002AJ....123.3409H,L9+/-1.5,2004AJ....127.3553K,L4,2002AJ....123.3409H,VLM,14.734,0.036,13.917,0.041,13.444,0.041,-0.57,BLUE,,,,,FLD-G,SPL,,,binary sbinary,Y,,Y,,,,brownD*,2MASS J08053189+4812330,L5,2014AJ....147...34S,,,,,,,,,459.07,21.93,-455,61,2008MNRAS.390.1517C,,,,,,,,,
WISE J080700.23+413026.8,J08070023+4130268,121.75096,41.507446,10548,,,L8 pec,2013PASP..125..809T,L8 pec,2013PASP..125..809T,VLM,15.84,0.09,14.78,0.07,14.35,0.08,0.02,,,,,,,,,,red,,,,,,,brownD*,2MASS J08070024+4130305,L8pec,2013PASP..125..809T,,,,,,,,,340.59,14.14,-20,-340,2013PASP..125..809T,,,,,,,,,
2MASS J08071364+1221549,J08071364+1221549,121.8087917,12.36473333,12637,,,M6.0,SPL,M6.0,SPL,VLM,12.934,0.021,12.341,0.022,11.974,0.022,0.04,,,,,,,,,,,,,,,,,,,,,,,,,39.79171251,7.273287639,39.79171251,7.273287639,,,,,,,,,,,,,,
2MASS J08072607+3213101,J080726076+3213101,121.858625,32.21948889,11730,,,M8.0,SPL,M8,2007AJ....133.2258S,VLM,12.168,0.024,11.455,0.03,11.051,0.025,0.067,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08072607+3213101,M8,2007AJ....133.2258S,,,,,17.61,3.25,17.607,3.248,489.802,64,-391,-295,2007AJ....133.2258S,40.87783386,,,,,,,,
0808+0226,J0808+0226,122,2.4333334,10549,,,,,,,VLM,16.486,0.15,15.762,0.153,15.496,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD+21 1764B,J0808135884+2106089,122.0565833,21.10249444,12385,,,M3.0,SPL,M3.0V,2015A&A...577A.128A,STAR,7.336,0.021,6.763,0.042,6.522,0.021,,,,,,,,,,,,,,,,,,SB*,BD+21  1764B,M3.0V,2015A&A...577A.128A,0.162703452,59,7,2009ApJ...704..975J,,,16.94915254,2.010916403,458.7762091,4.5,-286.9,-358,1988A&AS...74..449R,36.85761408,,82.87,0.75,2010ApJ...716.1522S,,,,
SDSS J080959.01+443422.2,J08095903+4434216,122.49596,44.572666,10550,,,L6,2006AJ....131.2722C,L6,2006AJ....131.2722C,VLM,16.437,0.114,15.184,0.098,14.417,0.059,0.31,RED,,,,,INT-G,SPL,Argus,2015ApJS..219...33G,,,,,,,,brownD*,2MASS J08095903+4434216,L7,2015AJ....150..182K,,,,,,,,,291.55,23.6,-198,-214,2009AJ....137....1F,,,,,,,,,
SDSS J081058.60+142038.1,J08105860+1420381,122.74416,14.343916,10551,M8,SCHMIDT-NP,,,M8,SCHMIDT-NP,VLM,12.73,,,,11.59,,0.04,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSI J0810586+142039,M8V,2011AJ....141...97W,,,,,,,,,132.44,26.87,-34,-128,2009AJ....137....1F,,,27.4,0.4,2002AJ....124..519R,,,,
SDSS J081110.30+185527.9,J08111040+1855280,122.79333,18.924444,10552,L1,SCHMIDT-NP,,,L1,SCHMIDT-NP,VLM,14.478,0.027,13.662,0.031,13.187,0.03,-0.07,,,,,,FLD-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENIS-P J0812316-244442,J08123170-24444239,123.13208,-24.745083,10553,L2.5+/-1,2008MNRAS.383..831P,,,L2.5+/-1,2008MNRAS.383..831P,VLM,13.817,0.029,12.929,0.027,12.391,0.024,0.18,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08123170-2444423,L1.5,2008MNRAS.383..831P,,45.47,0.96,2014AJ....147...94D,,,21.993,0.464,190.9,7.21,96,-165,2009AJ....137....1F,19.8997917,0.861161124,,,,,,,
2MASS J08125319+3721048,J081253196+37210483,123.221625,37.35134167,12056,L3,Martin2010,L0.5pec,2016arXiv160706117R,L3,2010AJ....139.1808S,VLM,15.749,0.072,14.982,0.082,14.278,0.068,0.011,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08125319+3721048,L3,2010AJ....139.1808S,0.753404617,,,,39.62362349,7.188551184,39.62362349,7.188551184,152.8285968,9.90353,12.7,-152.3,2016arXiv160706117R,28.70365197,5.52966504,,,,,,,
J0815+1041 Background Source,J0815+1041,123.75,10.683333,10554,,,M5,SPL,M5,SPL,VLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrong target?
2MASS J08151407+1030117,J081514075+10301170,123.808625,10.50325,12386,,,M7.0,SPL,M7,2008AJ....136.1290R,VLM,12.423,0.024,11.74,0.03,11.334,0.023,0.089,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08151407+1030117,M7,2008AJ....136.1290R,7.412908063,,,,23.4393981,4.254998216,23.4393981,4.254998216,76.05918748,20,-59,48,2009AJ....137....1F,8.450384664,,,,,,,,
SDSS J08175749+1824050,J08175749+1824050,124.48955,18.401388,10555,L1,2010AJ....139.1808S,,,L1,2010AJ....139.1808S,VLM,15.09,0.04,14.29,0.04,13.82,0.03,-0.05,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08175749+1824048,L1,2010AJ....139.1808S,,,,,,,,,26.55,21.03,9.2,24.9,2010AJ....139.1808S,,,,,,,,,
SDSS J08181228+3310482,J08181228+3310482,124.55117,33.180058,10556,L0,2010AJ....139.1808S,,,L0,2010AJ....139.1808S,VLM,15.99,0.09,15.37,0.11,15.06,0.14,-0.05,,,,,,INT-G,SPL,,,,,,,,,,brownD*,2MASS J08181234+3310479,L0,2010AJ....139.1808S,,,,,,,,,199.09,40.58,-187.3,67.5,2010AJ....139.1808S,,,,,,,,,
2MASS J0818332-003628,J08183325-0036282,124.63855,-0.60783339,10557,M4.5,2007AJ....133..439C,,,M4.5,2007AJ....133..439C,VLM,16.604,0.157,15.36,0.098,14.472,,,,,,,,,,,,,,,,,,,brownD*,2MASSI J0818332-003628,M6,,,,,,,,,,,,,,,,,,,,,,,
2MASSI J0818580+233352,J081858047+2333522,124.7418333,23.56450278,11731,,,M8.0,SPL,M7,2007AJ....133.2258S,VLM,12.175,0.021,11.552,0.023,11.149,0.018,0.026,,,,,,FLD-G,SPL,,,,,,,,,,Star,2MASSI J0818580+233352,M7,2007AJ....133.2258S,,,,,21.48,4.05,21.483,4.047,409.6852,121,-309,-269,2007AJ....133.2258S,41.71828899,,33.1,3,2009ApJ...705.1416R,,,,
2MASS J08192194-1243593,J08192194-1243593,124.84141,-12.733138,10558,,,,,,,VLM,15.549,0.05,15.193,0.096,15.145,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IY Pup,J08192320-2815087,124.84666,-28.252417,10559,M9 I,1998IBVS.4612....1B,,,M9 I,1998IBVS.4612....1BA,GIANT,6.314,0.021,5.393,0.027,4.947,0.018,-0.31,BLUE,I,,,,VL-G,SPL,,,giant,,,,,,,Mira,V* IY Pup,M9,,,,,,,,,,,,,,,,,,,,,,,
SDSS J081946.02+165853.9,J08194602+1658539,124.94174,16.98164,10560,M9,2015AJ....149..158S,,,M9,2015AJ....149..158S,VLM,13.789,0.024,13.104,0.029,12.624,0.021,0.06,,,,,,INT-G,SPL,,,,,,,,,,brownD*,2MASS J08194602+1658539,M9,2009AJ....137....1F,,,,,,,,,163.78,23.35,-160,-35,2009AJ....137....1F,,,,,,,,,
WISE J081958.05-033528.5,J08195805-0335285,124.99187,-3.5912499,10561,,,T4,2011ApJS..197...19K,T4,2011ApJS..197...19K,VLM,14.991,0.044,14.638,0.057,14.586,0.105,0.11,,,,,,,,,,,,,,,,,brownD*,EQ J0819-0335,T4,2011ApJS..197...19K,,,,,,,,,250.34,9.9,-190,-163,2011ApJS..197...19K,,,,,,,,,
2MASSW J0820299+450031,J08202996+4500315,125.12482,45.008751,10562,L5,2000AJ....120..447K,,,L5,2000AJ....120..447K,VLM,16.279,0.108,15,0.087,14.218,0.066,0.29,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSW J0820299+450031,L5V,2000AJ....120..447K,,,,,,,,,316.57,30.02,-104,-299,2008MNRAS.390.1517C,,,,,,,,,
SDSS J082030.12+103737.0,J08203013+1037372,125.12553,10.627,10563,,,L9.5+/-2,2006AJ....131.2722C,L9.5+/-2,2006AJ....131.2722C,VLM,16.98,0.185,16.079,0.191,15.538,0.19,0.23,,,,,,,,,,,,,,,,,brownD*,2MASS J08203013+1037372,L9.5,2014AJ....147...34S,,,,,,,,,81.27,24.04,-77,-26,2009AJ....137....1F,,,,,,,,,
WISE J08211048+6007342,J08211048+6007342,125.29368,60.126163,10564,,,M7,FAH-NP,M7,FAH-NP,VLM,15.319,0.054,14.605,0.046,14.18,0.048,-0.05,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISE J082131.64+144319.2,J08213164+1443192,125.38184,14.721999,10565,,,T5.5,2011ApJS..197...19K,T5.5,2011ApJS..197...19K,VLM,16.825,0.155,16.515,0.24,17.089,,0.31,RED,,,,,,,,,,,,,,,,brownD*,2MASS J08213173+1443231,T5.5,2011ApJS..197...19K,,,,,,,,,315.6,33.94,-98,-300,2011ApJS..197...19K,,,,,,,,,
2MASSI J0821501+453201,J082150106+4532019,125.45875,45.53386667,11873,,,M8.0,SPL,M7.5,,VLM,13.464,0.023,12.733,0.022,12.378,0.025,0.061,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSI J0821501+453201,M7.5,,8.519,,,,34.59,6.235,34.5995,6.2356,,,,,,,,,,,,,,
LSR 0822+1700,J08223369+1700199,125.64038,17.005527,10566,usdM7.5,2003AJ....125.1598L,,,usdM7.5,2003AJ....125.1598L,VLM,15.868,0.076,15.775,0.12,15.45,0.194,,,,usd,,,,,,,subdwarf,,,,,,,PM*,2MASS J08223369+1700199,esdM6.5,2012A&A...542A.105L,,,,,,,,,610.67,,359,-494,2005AJ....129.1483L,,,,,,,,,
DENIS J0823031-491201,J08230313-4912012,125.76305,-49.200333,10567,L1.5,2008MNRAS.383..831P,L3,2012MNRAS.427.3280F,L1.5,2008MNRAS.383..831P,VLM,13.547,0.026,12.636,0.021,12.062,0.023,0.01,,,,,,INT-G,OTHER,,,binary young,Y,,,,,,brownD*,2MASS J08230313-4912012,L1.5,2008MNRAS.383..831P,,,,,,,,,138.05,4.12,-137,17,2009AJ....137....1F,,,,,,,,,
2MASS J08230838+6125208,J08230837+61252079,125.78487,61.422417,10568,L2:,2008AJ....136.1290R,,,L2:,2008AJ....136.1290R,VLM,14.82,0.036,13.814,0.037,13.196,0.029,0.2,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08230838+6125208,L2:,2008AJ....136.1290R,,,,,,,,,,,,,,,,,,,,,,
2MASS J08234818+2428577,J08234818+2428577,125.95074,24.482695,10569,L3,2008AJ....136.1290R,,,L3,2008AJ....136.1290R,VLM,14.986,0.043,14.06,0.044,13.377,0.03,0.3,RED,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08234818+2428577,L2,2014AJ....147...34S,,,,,,,,,175.87,27.59,-160,73,2008MNRAS.390.1517C,,,,,,,,,
2MASSI J0825196+211552,J08251968+2115521,126.332,21.264473,10570,L7.5,2000AJ....120..447K,L6 beta,2015ApJS..219...33G,L7.5,2000AJ....120..447K,VLM,15.1,0.034,13.792,0.032,13.028,0.026,0.34,RED,,,beta,,INT-G,OTHER,,,young,,,,,,,brownD*,2MASSI J0825196+211552,L7.5V,2000AJ....120..447K,,93.8,1,2012ApJ...752...56F,,,10.661,0.114,749.81,129.97,-709,-244,2007AJ....133.2258S,37.89025168,6.580345973,,,,,,,
SDSS J08264265+19392195,J08264262+1939224,126.67758,19.656221,10571,L0,2008AJ....135..785W,,,L0,2008AJ....135..785W,VLM,14.777,0.032,14.009,0.034,13.581,0.034,0.01,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J08264262+1939224,M9V,2011AJ....141...97W,,,,,,,,,,,,,,,,-31,,2011AJ....141...97W,,,,
2MASS J08270185+4129191,J08270185+4129191,126.7564167,41.48918056,12772,,,L1.0,SPL,L1,2017arXiv170803688K,VLM,15.913,0.072,15.41,0.1,14.648,0.085,0.015,,,,,,FLD-G,SPL,,,,,,,,,,,,,,,,,,61.9454111,12.35967213,61.9454111,12.35967213,,,,,,,,,,,,,,
2MASS J08272028+4502043,J08272028+4502043,126.8345,45.03445278,11751,,,M8.0,SPL,M8V,2011AJ....141...97W,VLM,13.381,0.022,12.741,0.02,12.338,0.019,0,,,,,,FLD-G,SPL,,,,,,,,,,low-mass*,2MASS J08272028+4502043,M8V,2011AJ....141...97W,11,,,,29.95,5.98,29.952,5.977,383.7355,5.2,-222,-313,2008AJ....135..785W,54.48052891,,-7,0,2011AJ....141...97W,,,,
SSSPM 0829-1309,J08283419-1309198,127.14246,-13.155499,10572,L2,2005A&A...440.1061L,,,L2,2005A&A...440.1061L,VLM,12.803,0.03,11.851,0.021,11.297,0.021,0.13,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,SSSPM J0829-1309,L2,2002MNRAS.336L..49S,,87.96,0.78,2014AJ....147...94D,,,11.369,0.101,586.12,5.1,-586,12,2003AJ....125..984M,31.58506512,0.392364972,25.85,0.08,2010ApJ...723..684B,29.13,5,2010ApJ...723..684B,
2MASSW J0829066+145622,J08290664+1456225,127.27767,14.939584,10573,L2,2000AJ....120..447K,,,L2,2000AJ....120..447K,VLM,14.75,0.03,13.801,0.036,13.166,0.033,0.13,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSI J0829066+145622,L2V,2000AJ....120..447K,,,,,,,,,232.23,24.76,-49,-227,2008MNRAS.390.1517C,,,,,,,,,
2MASS J08294908-0012241,J082949085-0012241,127.4545,-0.206711111,11732,,,M8.0,SPL,M7,2009AJ....137....1F,VLM,13.488,0.026,12.83,0.026,12.465,0.031,0.023,,,,,,FLD-G,SPL,,,,,,,,,,Star,2MASS J08294908-0012241,M7,2009AJ....137....1F,,,,,39.17,7.45,39.171,7.45,265.9999,14.2353,-206.135,168.12,2009MNRAS.394..857D,49.38806833,,,,,,,,
GJ 1111,J08294949+2646348,127.45621,26.776333,10574,M6.5,2009ApJ...704..975J,,,M6.5,2009ApJ...704..975J,VLM,8.235,0.021,7.617,0.018,7.26,0.024,-0.06,,,,,,FLD-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSO J127.4696+10.5777,J08295273+1034404,127.4697083,10.57778889,11923,,,L6.0,SPL,L4,2015ApJ...814..118B,VLM,17.07,0.03,16.11,0.02,15.25,0.02,0.25,,,,,,VL-G,SPL,,,,,,,,,,,,,,,,,,90.71,15.81,90.7167,15.813,,,,,,,,,,,,,,
